"MOQ LIMITED","MOQ","Software & Services"
"1300 SMILES LIMITED","ONT","Health Care Equipment & Services"
"1414 DEGREES LIMITED","14D","Capital Goods"
"1ST GROUP LIMITED","1ST","Health Care Equipment & Services"
"333D LIMITED","T3D","Commercial & Professional Services"
"360 CAPITAL GROUP","TGP","Real Estate"
"360 CAPITAL TOTAL RETURN FUND","TOT","Not Applic"
"3D OIL LIMITED","TDO","Energy"
"3D RESOURCES LIMITED","DDD","Materials"
"3P LEARNING LIMITED..","3PL","Consumer Services"
"4DS MEMORY LIMITED","4DS","Semiconductors & Semiconductor Equipment"
"5G NETWORKS LIMITED","5GN","Communication Services"
"88 ENERGY LIMITED","88E","Energy"
"8COMMON LIMITED","8CO","Software & Services"
"8I HOLDINGS LTD","8IH","Diversified Financials"
"8IP EMERGING COMPANIES LIMITED","8EC","Not Applic"
"8VIC HOLDINGS LIMITED","8VI","Media & Entertainment"
"9 SPOKES INTERNATIONAL LIMITED","9SP","Software & Services"
"99 WUXIAN LIMITED","NNW","Retailing"
"A-CAP ENERGY LIMITED","ACB","Energy"
"A.C.N. 004 410 833 LIMITED","ARI","Materials"
"A1 INVESTMENTS & RESOURCES LTD","AYI","Diversified Financials"
"A2B AUSTRALIA LIMITED","A2B","Commercial & Professional Services"
"ABACUS PROPERTY GROUP","ABP","Real Estate"
"ABILENE OIL AND GAS LIMITED","ABL","Energy"
"ABSOLUTE EQUITY PERFORMANCE FUND LIMITED","AEG","Not Applic"
"ABUNDANT PRODUCE LIMITED","ABT","Food, Beverage & Tobacco"
"ACACIA COAL LIMITED","AJC","Energy"
"ACADEMIES AUSTRALASIA GROUP LIMITED","AKG","Consumer Services"
"ACCELERATE RESOURCES LIMITED","AX8","Not Applic"
"ACCENT GROUP LIMITED","AX1","Retailing"
"ACCENT RESOURCES NL","ACS","Materials"
"ACORN CAPITAL INVESTMENT FUND LIMITED","ACQ","Not Applic"
"ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","ACF","Capital Goods"
"ACRUX LIMITED","ACR","Pharmaceuticals, Biotechnology & Life Sciences"
"ACTINOGEN MEDICAL LIMITED","ACW","Pharmaceuticals, Biotechnology & Life Sciences"
"ACTIVEX LIMITED","AIV","Materials"
"ADACEL TECHNOLOGIES LIMITED","ADA","Software & Services"
"ADAIRS LIMITED","ADH","Retailing"
"ADALTA LIMITED","1AD","Pharmaceuticals, Biotechnology & Life Sciences"
"ADAVALE RESOURCES LIMITED","ADD","Energy"
"ADCORP AUSTRALIA LIMITED","AAU","Media & Entertainment"
"ADELAIDE BRIGHTON LIMITED","ABC","Materials"
"ADHERIUM LIMITED","ADR","Health Care Equipment & Services"
"ADMEDUS LTD","AHZ","Health Care Equipment & Services"
"ADMIRALTY RESOURCES NL.","ADY","Materials"
"ADRIATIC METALS PLC","ADT","Materials"
"ADSLOT LTD","ADJ","Software & Services"
"ADVANCE NANOTEK LIMITED","ANO","Materials"
"ADVANCED BRAKING TECHNOLOGY LTD","ABV","Automobiles & Components"
"ADVANCED SHARE REGISTRY LIMITED","ASW","Diversified Financials"
"ADVERITAS LIMITED","AV1","Media & Entertainment"
"ADX ENERGY LTD","ADX","Energy"
"AEERIS LTD","AER","Media & Entertainment"
"AEON METALS LIMITED.","AML","Materials"
"AERIS ENVIRONMENTAL LTD","AEI","Commercial & Professional Services"
"AERIS RESOURCES LIMITED","AIS","Materials"
"AFFINITY ENERGY AND HEALTH LIMITED","AEB","Pharmaceuticals, Biotechnology & Life Sciences"
"AFRICAN ENERGY RESOURCES LIMITED","AFR","Energy"
"AFRICAN GOLD LIMITED","A1G","Class Pend"
